depth,volume
-0.05000001,0
-0.04800004,0
-0.04600006,0
-0.04400009,0
-0.04200011,0
-0.04000014,0
-0.03800017,0
-0.03600019,0
-0.03400022,0
-0.03200024,0
-0.03000027,0
-0.0280003,0
-0.02600032,0
-0.02400035,0
-0.02200037,0
-0.0200004,0
-0.01800042,0
-0.01600045,0
-0.01400048,0
-0.0120005,0
-0.01000053,0
-0.008000553,0
-0.006000578,0
-0.004000604,0
-0.00200063,0
-6.556511E-07,0
0.001999348,0
0.003999352,0
0.005999357,0
0.007999361,0
0.009999365,0
0.01199937,0
0.01399937,0
0.01599938,0
0.01799938,0
0.01999938,0
0.02199939,0
0.02399939,0
0.0259994,0
0.0279994,0
0.02999941,0
0.03199941,0
0.03399941,0
0.03599942,0
0.03799942,0
0.03999943,0
0.04199943,0
0.04399943,0
0.04599944,0
0.04799944,0
0.04999945,0
0.05199945,0.0005798424
0.05399945,0.001159844
0.05599946,0.001739845
0.05799946,0.002319846
0.05999947,0.002899847
0.06199947,0.003479849
0.06399947,0.004059849
0.06599948,0.004639851
0.06799948,0.005219851
0.06999949,0.005799854
0.07199949,0.006379856
0.07399949,0.006959854
0.0759995,0.007539856
0.0779995,0.008119858
0.07999951,0.00869986
0.08199951,0.009279857
0.08399951,0.00985986
0.08599952,0.01043986
0.08799952,0.01101987
0.08999953,0.01159987
0.09199953,0.01217987
0.09399953,0.01275987
0.09599954,0.01333987
0.09799954,0.01391987
0.09999955,0.01449987
0.1019996,0.01507987
0.1039996,0.01565987
0.1059996,0.01623988
0.1079996,0.01681988
0.1099996,0.01739988
0.1119996,0.01797988
0.1139996,0.01855988
0.1159996,0.01913988
0.1179996,0.01971988
0.1199996,0.02029988
0.1219996,0.02087989
0.1239996,0.02145988
0.1259996,0.02203989
0.1279996,0.02261988
0.1299996,0.02319989
0.1319996,0.02377989
0.1339996,0.0243599
0.1359996,0.02493989
0.1379996,0.02551989
0.1399996,0.0260999
0.1419996,0.02667989
0.1439996,0.02725991
