depth,volume
-0.05000001,0
-0.04800004,0
-0.04600006,0
-0.04400009,0
-0.04200011,0
-0.04000014,0
-0.03800017,0
-0.03600019,0
-0.03400022,0
-0.03200024,0
-0.03000027,0
-0.0280003,0
-0.02600032,0
-0.02400035,0
-0.02200037,0
-0.0200004,0
-0.01800042,0
-0.01600045,0
-0.01400048,0
-0.0120005,0
-0.01000053,0
-0.008000553,0
-0.006000578,0
-0.004000604,0
-0.00200063,0
-6.556511E-07,0
0.001999348,0.0007197682
0.003999352,0.00143977
0.005999357,0.002159771
0.007999361,0.002879773
0.009999365,0.003599774
0.01199937,0.004319776
0.01399937,0.005039777
0.01599938,0.005759779
0.01799938,0.006479781
0.01999938,0.007199782
0.02199939,0.007919783
0.02399939,0.008639785
0.0259994,0.009359786
0.0279994,0.01007979
0.02999941,0.01079979
0.03199941,0.01151979
0.03399941,0.01223979
0.03599942,0.0129598
0.03799942,0.01367979
0.03999943,0.0143998
0.04199943,0.0151198
0.04399943,0.0158398
0.04599944,0.0165598
0.04799944,0.0172798
0.04999945,0.0179998
0.05199945,0.01871981
0.05399945,0.01943981
0.05599946,0.02015981
0.05799946,0.02087981
0.05999947,0.02159981
0.06199947,0.02231981
0.06399947,0.02303981
0.06599948,0.02375982
0.06799948,0.02447982
0.06999949,0.02519982
0.07199949,0.02591982
0.07399949,0.02663982
0.0759995,0.02735982
0.0779995,0.02807983
0.07999951,0.02879983
0.08199951,0.02951983
0.08399951,0.03023983
0.08599952,0.03095983
0.08799952,0.03167984
0.08999953,0.03239983
0.09199953,0.03311983
0.09399953,0.03383984
0.09599954,0.03455984
0.09799954,0.03527984
0.09999955,0.03599984
0.1019996,0.03671984
0.1039996,0.03743985
0.1059996,0.03815985
0.1079996,0.03887985
0.1099996,0.03959985
0.1119996,0.04031985
0.1139996,0.04103985
0.1159996,0.04175985
0.1179996,0.04247985
0.1199996,0.04319986
0.1219996,0.04391986
0.1239996,0.04463986
0.1259996,0.04535986
0.1279996,0.04607986
