depth,volume
-0.25,0
-0.248,0
-0.2460001,0
-0.2440001,0
-0.2420001,0
-0.2400001,0
-0.2380002,0
-0.2360002,0
-0.2340002,0
-0.2320002,0
-0.2300003,0
-0.2280003,0
-0.2260003,0
-0.2240003,0
-0.2220004,0
-0.2200004,0
-0.2180004,0
-0.2160004,0
-0.2140005,0
-0.2120005,0
-0.2100005,0
-0.2080005,0
-0.2060006,0
-0.2040006,0
-0.2020006,0
-0.2000006,0
-0.1980007,0
-0.1960007,0
-0.1940007,0
-0.1920007,0
-0.1900008,0
-0.1880008,0
-0.1860008,0
-0.1840008,0
-0.1820009,0
-0.1800009,0
-0.1780009,0
-0.176001,0
-0.174001,0
-0.172001,0
-0.170001,0
-0.1680011,0
-0.1660011,0
-0.1640011,0
-0.1620011,0
-0.1600012,0
-0.1580012,0
-0.1560012,0
-0.1540012,0
-0.1520013,0
-0.1500013,0
-0.1480013,0
-0.1460013,0
-0.1440014,0
-0.1420014,0
-0.1400014,0
-0.1380014,0
-0.1360015,0
-0.1340015,0
-0.1320015,0
-0.1300015,0
-0.1280016,0
-0.1260016,0
-0.1240016,0
-0.1220016,0
-0.1200017,0
-0.1180017,0
-0.1160017,0
-0.1140018,0
-0.1120018,0
-0.1100018,0
-0.1080018,0
-0.1060019,0
-0.1040019,0
-0.1020019,0
-0.1000019,0
-0.09800196,0
-0.09600198,0
-0.09400201,0
-0.09200203,0
-0.09000206,0
-0.08800209,0
-0.08600211,0
-0.08400214,0
-0.08200216,0
-0.08000219,0
-0.07800221,0
-0.07600224,0
-0.07400227,0
-0.07200229,0
-0.07000232,0
-0.06800234,0
-0.06600237,0
-0.06400239,0
-0.06200242,0
-0.06000245,0
-0.05800247,0
-0.0560025,0
-0.05400252,0
-0.05200255,0
-0.05000257,0
-0.0480026,0
-0.04600263,0
-0.04400265,0
-0.04200268,0
-0.0400027,0
-0.03800273,0
-0.03600276,0
-0.03400278,0
-0.03200281,0
-0.03000283,0
-0.02800286,0
-0.02600288,0
-0.02400291,0
-0.02200294,0
-0.02000296,0
-0.01800299,0
-0.01600301,0
-0.01400304,0
-0.01200306,0
-0.01000309,0
-0.008003116,0
-0.006003141,0
-0.004003167,0
-0.002003193,0
-3.218651E-06,0
0.001996785,0
0.003996789,0
0.005996794,0
0.007996798,0
0.009996802,0
0.01199681,0
0.01399681,0
0.01599681,0
0.01799682,0
0.01999682,0
0.02199683,0
0.02399683,0
0.02599683,0
0.02799684,0
0.02999684,0
0.03199685,0
0.03399685,0
0.03599685,0
0.03799686,0
0.03999686,0
0.04199687,0
0.04399687,0
0.04599687,0
0.04799688,0
0.04999688,0
0.05199689,0
0.05399689,0
0.05599689,0
0.0579969,0
0.0599969,0
0.06199691,0
0.06399691,0
0.06599692,0
0.06799692,0
0.06999692,0
0.07199693,0
0.07399693,0
0.07599694,0
0.07799694,0
0.07999694,0
0.08199695,0
0.08399695,0
0.08599696,0
0.08799696,0
0.08999696,0
0.09199697,0
0.09399697,0
0.09599698,0
0.09799698,0
0.09999698,0
0.101997,0.029
0.103997,0.029
0.105997,0.029
0.107997,0.029
0.109997,0.029
0.111997,0.029
0.113997,0.029
0.115997,0.029
0.117997,0.029
0.119997,0.029
0.121997,0.029
0.123997,0.029
0.125997,0.029
0.127997,0.029
0.129997,0.029
0.131997,0.029
0.1339971,0.029
0.1359971,0.029
0.1379971,0.029
0.1399971,0.029
0.1419971,0.029
0.1439971,0.029
0.1459971,0.029
0.1479971,0.029
0.1499971,0.029
0.1519971,0.029
0.1539971,0.029
0.1559971,0.029
0.1579971,0.029
0.1599971,0.029
0.1619971,0.029
0.1639971,0.029
0.1659971,0.029
0.1679971,0.029
0.1699971,0.029
0.1719971,0.029
0.1739971,0.029
0.1759971,0.029
0.1779971,0.029
0.1799971,0.029
0.1819972,0.029
0.1839972,0.029
0.1859972,0.029
0.1879972,0.029
0.1899972,0.029
0.1919972,0.029
0.1939972,0.029
0.1959972,0.029
0.1979972,0.029
0.1999972,0.029
0.2019972,0.078
0.2039972,0.078
0.2059972,0.078
0.2079972,0.078
0.2099972,0.078
0.2119972,0.078
0.2139972,0.078
0.2159972,0.078
0.2179972,0.078
0.2199972,0.078
0.2219972,0.078
0.2239972,0.078
0.2259972,0.078
0.2279972,0.078
0.2299972,0.078
0.2319973,0.078
0.2339973,0.078
0.2359973,0.078
0.2379973,0.078
0.2399973,0.078
0.2419973,0.078
0.2439973,0.078
0.2459973,0.078
0.2479973,0.078
0.2499973,0.078
0.2519973,0.078
0.2539973,0.078
0.2559973,0.078
0.2579973,0.078
0.2599973,0.078
0.2619973,0.078
0.2639973,0.078
0.2659973,0.078
0.2679973,0.078
0.2699973,0.078
0.2719973,0.078
0.2739973,0.078
0.2759973,0.078
0.2779973,0.078
0.2799973,0.078
0.2819974,0.078
0.2839974,0.078
0.2859974,0.078
0.2879974,0.078
0.2899974,0.078
0.2919974,0.078
0.2939974,0.078
0.2959974,0.078
0.2979974,0.078
0.2999974,0.078
0.3019974,0.147
0.3039974,0.147
0.3059974,0.147
0.3079974,0.147
0.3099974,0.147
0.3119974,0.147
0.3139974,0.147
0.3159974,0.147
0.3179974,0.147
0.3199974,0.147
0.3219974,0.147
0.3239974,0.147
0.3259974,0.147
0.3279974,0.147
0.3299975,0.147
0.3319975,0.147
0.3339975,0.147
0.3359975,0.147
0.3379975,0.147
0.3399975,0.147
0.3419975,0.147
0.3439975,0.147
0.3459975,0.147
0.3479975,0.147
0.3499975,0.147
0.3519975,0.147
0.3539975,0.147
0.3559975,0.147
0.3579975,0.147
0.3599975,0.147
0.3619975,0.147
0.3639975,0.147
0.3659975,0.147
0.3679975,0.147
0.3699975,0.147
0.3719975,0.147
0.3739975,0.147
0.3759975,0.147
0.3779975,0.147
0.3799975,0.147
0.3819975,0.147
0.3839975,0.147
0.3859975,0.147
0.3879975,0.147
0.3899975,0.147
0.3919975,0.147
0.3939975,0.147
0.3959975,0.147
0.3979975,0.147
0.3999975,0.147
0.4019975,0.216
0.4039975,0.216
0.4059975,0.216
0.4079975,0.216
0.4099975,0.216
0.4119975,0.216
0.4139975,0.216
0.4159975,0.216
0.4179975,0.216
0.4199975,0.216
0.4219975,0.216
0.4239975,0.216
0.4259974,0.216
0.4279974,0.216
0.4299974,0.216
0.4319974,0.216
0.4339975,0.216
0.4359974,0.216
0.4379974,0.216
0.4399974,0.216
0.4419974,0.216
0.4439974,0.216
0.4459974,0.216
0.4479975,0.216
0.4499974,0.216
0.4519974,0.216
0.4539974,0.216
0.4559974,0.216
0.4579974,0.216
0.4599974,0.216
0.4619974,0.216
0.4639974,0.216
0.4659974,0.216
0.4679974,0.216
0.4699974,0.216
0.4719974,0.216
0.4739974,0.216
0.4759974,0.216
0.4779974,0.216
0.4799974,0.216
0.4819974,0.216
0.4839974,0.216
0.4859974,0.216
0.4879974,0.216
0.4899974,0.216
0.4919974,0.216
0.4939974,0.216
0.4959974,0.216
0.4979974,0.216
0.4999974,0.216
0.5019974,0.295
0.5039974,0.295
0.5059974,0.295
0.5079974,0.295
0.5099974,0.295
0.5119974,0.295
0.5139974,0.295
0.5159974,0.295
0.5179974,0.295
0.5199974,0.295
0.5219974,0.295
0.5239974,0.295
0.5259974,0.295
0.5279974,0.295
0.5299974,0.295
0.5319974,0.295
0.5339974,0.295
0.5359974,0.295
0.5379974,0.295
0.5399974,0.295
0.5419974,0.295
0.5439974,0.295
0.5459974,0.295
0.5479974,0.295
0.5499974,0.295
0.5519974,0.295
0.5539974,0.295
0.5559974,0.295
0.5579974,0.295
0.5599974,0.295
0.5619974,0.295
0.5639974,0.295
0.5659974,0.295
0.5679974,0.295
0.5699974,0.295
0.5719974,0.295
0.5739974,0.295
0.5759974,0.295
0.5779974,0.295
0.5799974,0.295
0.5819974,0.295
0.5839974,0.295
0.5859973,0.295
0.5879974,0.295
0.5899974,0.295
0.5919974,0.295
0.5939974,0.295
0.5959973,0.295
0.5979974,0.295
0.5999973,0.295
0.6019974,0.364
0.6039973,0.364
0.6059973,0.364
0.6079974,0.364
0.6099973,0.364
0.6119973,0.364
0.6139973,0.364
0.6159973,0.364
0.6179973,0.364
0.6199973,0.364
0.6219973,0.364
0.6239973,0.364
0.6259973,0.364
0.6279973,0.364
0.6299973,0.364
0.6319973,0.364
0.6339973,0.364
0.6359973,0.364
0.6379973,0.364
0.6399974,0.364
0.6419973,0.364
0.6439973,0.364
0.6459973,0.364
0.6479974,0.364
0.6499974,0.364
0.6519973,0.364
0.6539974,0.364
0.6559974,0.364
0.6579974,0.364
0.6599973,0.364
0.6619974,0.364
0.6639974,0.364
0.6659974,0.364
0.6679974,0.364
0.6699974,0.364
0.6719974,0.364
0.6739974,0.364
0.6759974,0.364
0.6779974,0.364
0.6799974,0.364
0.6819974,0.364
0.6839974,0.364
0.6859974,0.364
0.6879975,0.364
0.6899974,0.364
0.6919974,0.364
0.6939974,0.364
0.6959975,0.364
0.6979975,0.364
0.6999974,0.364
0.7019975,0.433
0.7039975,0.433
0.7059975,0.433
0.7079974,0.433
0.7099975,0.433
0.7119975,0.433
0.7139975,0.433
0.7159975,0.433
0.7179975,0.433
0.7199975,0.433
0.7219975,0.433
0.7239975,0.433
0.7259975,0.433
0.7279975,0.433
0.7299975,0.433
0.7319975,0.433
